Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-11 02:39:48,18,M,Facebook;Instagram;YouTube,4,3,2,3,3,3,4,4,4,4,"branje;gledališče;pisanje poezije, proze;glasba, petje","nogomet;tek, atletika",rock;metal;jazz;funk;klasična glasba;alternativna
2016-06-11 02:51:09,19,Ž,Facebook;Snapchat;Instagram;Pinterest;Tumblr;YouTube,3,2,4,5,4,3,0,5,3,5,"branje;pohodništvo, hoja v hribe;kuhanje, kulinarika;zbirateljstvo",kolesarjenje,"pop;r'n'b / soul;rock;jazz;funk;blues;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
2016-06-11 03:23:05,18,M,Facebook;Snapchat;Instagram;YouTube,0,4,4,2,1,4,5,0,0,4,"programiranje;taborniki, skavti",košarka,rap / hip-hop
2016-06-11 04:05:45,16,M,Facebook;Snapchat;Instagram;YouTube,0,4,4,3,0,0,0,0,0,0,"glasba, petje","nogomet;odbojka;smučanje, bordanje",r'n'b / soul;rock
2016-06-11 04:06:21,17,M,Facebook;Snapchat;YouTube,5,5,3,3,2,0,5,4,4,2,"branje;kuhanje, kulinarika",,rock;jazz;rap / hip-hop;klasična glasba;alternativna
2016-06-11 04:27:21,,M,Facebook;Snapchat;Instagram;YouTube,0,4,3,5,5,4,4,0,0,0,"slikanje, risanje, fotografija;ročna dela;reševanje ugank;zbirateljstvo",nogomet;joga,pop;jazz;klasična glasba;alternativna
2016-06-11 04:44:14,18,M,Facebook;YouTube,0,3,4,3,0,4,0,0,0,0,"glasba, petje;ročna dela;pohodništvo, hoja v hribe","tek, atletika;plavanje;kolesarjenje",pop;rock;metal;jazz;blues;klasična glasba;narodno zabavna
2016-06-11 04:59:36,16,M,Facebook;Snapchat;Instagram;YouTube;Vine,0,0,0,4,4,4,4,1,0,5,programiranje,"nogomet;tek, atletika","rap / hip-hop;reggage;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-11 05:06:37,,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,4,5,5,0,0,0,0,zbirateljstvo,nogomet;odbojka,pop;r'n'b / soul
2016-06-11 09:50:19,17,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,5,5,3,0,0,0,0,"branje;gledališče;glasba, petje;ročna dela;pohodništvo, hoja v hribe;kuhanje, kulinarika;družabne igre;taborniki, skavti;reševanje ugank","nogomet;košarka;odbojka;tek, atletika;kolesarjenje;jahanje;smučanje, bordanje;borilni športi (taekwondo, karate, aikido...)","pop;jazz;rap / hip-hop;folk;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 10:12:28,18,Ž,Facebook;YouTube,4,0,0,4,4,0,0,0,0,0,"slikanje, risanje, fotografija;ročna dela;kuhanje, kulinarika","tek, atletika;plezanje;vodni športi (kitesurfing, windsurfing, jadranje...);ples","pop;r'n'b / soul;rock;jazz;rap / hip-hop;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 01:54:25,17,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,4,4,0,2,0,0,4,"slikanje, risanje, fotografija",ples,pop;r'n'b / soul
2016-06-12 06:06:30,19,M,Facebook;Snapchat;Instagram;YouTube,0,3,4,5,3,0,4,0,0,5,"programiranje;glasba, petje;kuhanje, kulinarika;družabne igre",kolesarjenje,"elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:06:55,18,Ž,Facebook;Instagram;YouTube,0,3,4,3,3,0,0,0,0,0,"branje;gledališče;pisanje poezije, proze;slikanje, risanje, fotografija;ročna dela;pohodništvo, hoja v hribe;kuhanje, kulinarika","tek, atletika;plezanje;plavanje;kolesarjenje;joga",rock;jazz;reggage;blues
2016-06-12 06:06:59,19,Ž,Facebook;Snapchat;Instagram;YouTube,4,0,0,5,4,0,2,0,0,0,"branje;glasba, petje;pohodništvo, hoja v hribe",odbojka;kolesarjenje,"pop;r'n'b / soul;rock;metal;rap / hip-hop;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
