created_at	author_screen_name	text
2016-06-26 21:58:08	xJessieOfTruth	@Arthouse_news yeah I do watch loads. Was a week wifi less so I'm doing a mass catch up this weekend. I've only paused to watch #EURO2016 👌👍
2016-06-26 21:58:07	MalaysiaSpurs	"RT @Spurs_MAS: And that Romelu is how you do it! 😜
#HUNBEL
#EURO2016 https://t.co/KOtIoeKMj3"
2016-06-26 21:58:07	habibnesro	Golden Boot race in #EURO2016 https://t.co/s5eTS0TWV4
2016-06-26 21:58:06	cmcyq	RT @esmuellert_: Quarterfinal - we are coming 😀 3:0 against Slovakia #GERSVK #EURO2016 #diemannschaft #firstneverfollows #esmuellert https:…
2016-06-26 21:58:05	gott_joshua	RT @adbritton: Tyson Fury loving it in #Nice #eng #EURO2016 https://t.co/8Q5J6YZLzA
2016-06-26 21:58:01	111Magdy	RT @ChelseaFC: Congratulations to @thibautcourtois and @hazardeden10! Next up - quarter-finals. #Euro2016 https://t.co/3az5LohNGe https://t…
2016-06-26 21:58:01	sidlowe	"RT @guardian_sport: #Euro2016 video preview: #Ita face #Esp in heavyweight replay of 2012 final https://t.co/aOURKJNb1a
https://t.co/Q4YUdd…"
2016-06-26 21:58:00	miszshakiera	"RT @UEFAEURO: QF2: Wales v Belgium. Destination: Lille. 
#EURO2016 https://t.co/Zr0xWo6If1"
2016-06-26 21:57:59	3r3youtan7	RT @photosofootball: We're all going to miss this guy and his sweatpants... #football #HUN #EURO2016 https://t.co/uVBZdkIQ3B
2016-06-26 21:57:59	_mulak	RT @BelRedDevils: What a beautiful night in Toulouse!! Tous Ensemble!! See you all in Lille ;-) ! #hunbel #Tousenfrance #euro2016 https://t…
2016-06-26 21:57:59	squareoneftbl	RT @paulreidy67: The Eiffel Tower paying tribute to #hun goalkeeper Gabor Kiraly after their #EURO2016 exit tonight https://t.co/IVKuryKAot
2016-06-26 21:57:59	dinopuppyy	"RT @gabryBoschetto: BOATENG GOAL! 
#GER 1-0 #SVK 🙌🏻 #EURO2016 https://t.co/pKkqDzuXER"
2016-06-26 21:57:58	lindaafrianis	"RT @UEFAEURO: QF2: Wales v Belgium. Destination: Lille. 
#EURO2016 https://t.co/Zr0xWo6If1"
2016-06-26 21:57:58	acharyaumesh145	"RT @UEFAEURO: RED CARD: Duffy is sent off after tripping Griezmann as he ran through on goal.
#EURO2016 #FRAIRL"
2016-06-26 21:57:57	henryjust56	RT @BelRedDevils: Back to Bordeaux! Good night all ;-) #TousenFrance #EURO2016 https://t.co/i8B4ou91FY
2016-06-26 21:57:57	stmattoakville	"RT @FIFAcom: Sunday's #EURO2016 Round of 16 fixtures reviewed as #FRA fought back &amp; #GER &amp; #BEL won big
https://t.co/hh73as7dq5 https://t.c…"
2016-06-26 21:57:56	littlezaiff	"RT @UEFAEURO: Germany will face either Italy or Spain in the Bordeaux QF on 2 July.
#EURO2016 https://t.co/mk54Jne26t"
2016-06-26 21:57:56	GRLOLNetflix	"Check out our new sports board on Facebook! Get Real LOL Pro Sports
https://t.co/H6sBJbqfsF #NASCAR #Olympics2016 #EURO2016 #GRLOL #WWE"
2016-06-26 21:57:55	JennyHummels	"RT @UEFAEURO: Griezmann to the rescue for France, who book their place in the last eight.
#EURO2016 #FRAIRL https://t.co/cZHiPvETyR"
2016-06-26 21:57:53	xxxelliebellyxx	RT @parcelly: #WIN a £25 @amazon Voucher! Simply follow and retweet us before the #EURO2016 championship ends #Parcelly #UEFA2016 https://t…
2016-06-26 21:57:52	Pook_Sirinapa	RT @DFB_Team_EN: Now with 5 goals, @Mario_Gomez is #GER's joint-top scorer at @UEFAEURO with @J_Klinsmann! ⚽⚽⚽⚽⚽ #EURO2016 #GERSVK https://…
2016-06-26 21:57:49	foghel79	"RT @azzurri: #Conte was in a bullish mood at today's press conference! Full quotes to follow soon.

#ITAESP #Euro2016 #ITA https://t.co/VL0…"
2016-06-26 21:57:47	kim_whee	RT @ChelseaFC: .@thibautcourtois and @hazardeden10 (c) start for #BEL v #HUN. Good luck lads! 💪 #Euro2016 https://t.co/jX6kys8Nxh
2016-06-26 21:57:47	HenrikGehrmann	RT @BSchweinsteiger: Quarterfinal, here we come!! 🇩🇪 #GERSVK #DieMannschaft #EURO2016 https://t.co/vj6XJDnsKe
