name,surname,position,team
Tomasz,Jodlowiec,Midfielder,Poland
Filip,Starzynski,Midfielder,Poland
Slawomir,Peszko,Midfielder,Poland
Arkadiusz,Milik,Forward,Poland
Robert,Lewandowski,Forward,Poland
Kamil,Grosicki,Forward,Poland
Mariusz,Stepinski,Forward,Poland
Rui,Patricio ,Goalkeeper,Portugal
Anthony,Lopes,Goalkeeper,Portugal
,Eduardo,Goalkeeper,Portugal
Cédric,Soares,Defender,Portugal
José,Fonte,Defender,Portugal
,Eliseu,Defender,Portugal
Raphaël,Guerreiro,Defender,Portugal
Bruno,Alves,Defender,Portugal
Ricardo,Carvalho,Defender,Portugal
,Pepe,Defender,Portugal
Adrien,Silva,Midfielder,Portugal
William,Carvalho,Midfielder,Portugal
,Vieirinha,Defender,Portugal
Danilo,Pereira,Midfielder,Portugal
Renato,Sanches,Midfielder,Portugal
Rafa,Silva,Midfielder,Portugal
João,Moutinho,Midfielder,Portugal
João,Mário,Midfielder,Portugal
André,Gomes,Midfielder,Portugal
,Nani,Forward,Portugal
Ricardo,Quaresma,Forward,Portugal
Cristiano,Ronaldo,Forward,Portugal
,Éder,Forward,Portugal
Ciprian,Tătărușanu,Goalkeeper,Romania
Costel,Pantilimon,Goalkeeper,Romania
Silviu,Lung,Goalkeeper,Romania
Cristian,Săpunaru,Defender,Romania
Alexandru,Mățel,Defender,Romania
Vlad,Chiricheș,Defender,Romania
Dragoș,Grigore,Defender,Romania
Valerică,Găman,Defender,Romania
Cosmin,Moți,Defender,Romania
Steliano,Filip,Defender,Romania
Răzvan,Raț,Defender,Romania
Mihai,Pintilii,Midfielder,Romania
Ovidiu,Hoban,Midfielder,Romania
Adrian,Popa,Midfielder,Romania
Gabriel,Torje,Midfielder,Romania
Lucian,Sânmărtean,Midfielder,Romania
Nicolae,Stanciu,Midfielder,Romania
Claudiu,Keșeru,Forward,Romania
Florin,Andone,Forward,Romania
Bogdan,Stancu,Forward,Romania
Denis,Alibec,Forward,Romania
Alexandru,Chipciu,Midfielder,Romania
Andrei,Prepeliţă,Midfielder,Romania
Igor,Akinfeev,Goalkeeper,Russia
,Guilherme,Goalkeeper,Russia
Yuri,Lodygin,Goalkeeper,Russia
Igor,Smolnikov,Defender,Russia
Sergei,Ignashevich,Defender,Russia
Aleksei,Berezutski,Defender,Russia
Roman,Shishkin,Defender,Russia
Georgi,Schennikov,Defender,Russia
Vasili,Berezutski,Defender,Russia
Dmitri,Kombarov,Defender,Russia
Dmitri,Torbinsky,Defender,Russia
Roman,Neustädter,Defender,Russia
Igor,Denisov,Midfielder,Russia
Oleg,Ivanov,Midfielder,Russia
Roman,Shirokov,Midfielder,Russia
Pavel,Mamaev,Midfielder,Russia
Alexander,Samedov,Midfielder,Russia
Denis,Glushakov,Midfielder,Russia
Oleg,Shatov,Midfielder,Russia
Alexander,Golovin,Midfielder,Russia
Aleksandr,Kokorin,Forward,Russia
Artyom,Dzyuba,Forward,Russia
Fyodor,Smolov,Forward,Russia
Ján,Mucha,Goalkeeper,Slovakia
Matúš,Kozáčik,Goalkeeper,Slovakia
Ján,Novota,Goalkeeper,Slovakia
Martin,Škrtel,Defender,Slovakia
Ján,Ďurica,Defender,Slovakia
Tomáš,Hubočan,Defender,Slovakia
Kornel,Saláta,Defender,Slovakia
Dušan,Švento,Defender,Slovakia
Nórbert,Gyömbér,Defender,Slovakia
Peter,Pekarík,Defender,Slovakia
Marek,Hamšík,Midfielder,Slovakia
Stanislav,Šesták,Midfielder,Slovakia
Juraj,Kucka,Midfielder,Slovakia
Viktor,Pečovský,Midfielder,Slovakia
Miroslav,Stoch,Midfielder,Slovakia
Vladimír,Weiss,Midfielder,Slovakia
Róbert,Mak,Midfielder,Slovakia
Ondrej,Duda,Midfielder,Slovakia
Patrik,Hrošovský,Midfielder,Slovakia
Ján,Greguš,Midfielder,Slovakia
Adam,Nemec,Forward,Slovakia
Michal,Ďuriš,Forward,Slovakia
Milan,Škriniar,Defender,Slovakia
Iker,Casillas,Goalkeeper,Spain
David,de Gea,Goalkeeper,Spain
Sergio,Rico,Goalkeeper,Spain
Marc,Bartra,Defender,Spain
Jordi,Alba,Defender,Spain
César,Azpilicueta,Defender,Spain
,Juanfran,Defender,Spain
Gerard,Piqué,Defender,Spain
