position	team	degree	popularity	name	surname
Forward	German	9.0	0.0	Mario	Gomez
Goalkeeper	Hungary	0.0	0.0	Gábor	Király
Goalkeeper	Hungary	0.0	0.0	Dénes	Dibusz
Goalkeeper	Hungary	0.0	0.0	Péter	Gulácsi
Defender	Hungary	0.0	0.0	Barnabás	Bese
Defender	Hungary	0.0	0.0	Attila	Fiola
Defender	Hungary	0.0	0.0	Richárd	Guzmics
Defender	Hungary	0.0	0.0	Tamás	Kádár
Defender	Hungary	0.0	0.0	Mihály	Korhut
Defender	Hungary	0.0	0.0	Roland	Juhász
Defender	Hungary	1.0	0.0	Ádám	Lang
Forward	Hungary	0.0	0.0	Balázs	Dzsudzsák
Midfielder	Hungary	0.0	0.0	Ákos	Elek
Midfielder	Hungary	0.0	0.0	Zoltán	Gera
Midfielder	Hungary	2.0	0.0	László	Kleinheisler
Midfielder	Hungary	0.0	0.0	Gergő	Lovrencsics
Midfielder	Hungary	0.0	0.0	Ádám	Nagy
Midfielder	Hungary	0.0	0.0	Ádám	Pintér
Midfielder	Hungary	0.0	0.0	Zoltán	Stieber
Forward	Hungary	0.0	0.0	Dániel	Böde
Forward	Hungary	0.0	0.0	Nemanja	Nikolic
Forward	Hungary	0.0	0.0	Krisztián	Németh
Forward	Hungary	0.0	0.0	Tamás	Priskin
Forward	Hungary	0.0	0.0	Ádám	Szalai
Goalkeeper	Iceland	0.0	0.0	Hannes	Thór Halldórsson
Goalkeeper	Iceland	0.0	0.0	Ögmundur	Kristinsson
Goalkeeper	Iceland	0.0	0.0	Ingvar	Jónsson
Defender	Iceland	0.0	0.0	Birkir	Már Sævarsson
Defender	Iceland	0.0	0.0	Haukur	Heiðar Hauksson
Defender	Iceland	0.0	0.0	Hjörtur	Hermannsson
Defender	Iceland	0.0	0.0	Sverrir	Ingi Ingason
Defender	Iceland	1.0	0.0	Ragnar	Sigurdsson
Defender	Iceland	0.0	0.0	Kári	Árnason
Defender	Iceland	0.0	0.0	Hördur	Björgvin Magnússon
Defender	Iceland	0.0	0.0	Ari	Freyr Skúlason
Midfielder	Iceland	0.0	0.0	Jóhann	Berg Guðmundsson
Midfielder	Iceland	0.0	0.0	Birkir	Bjarnason
Midfielder	Iceland	1.0	0.0	Gylfi	Sigurdsson
Midfielder	Iceland	0.0	0.0	Rúnar	Már Sigurjónsson
Midfielder	Iceland	0.0	0.0	Aron	Gunnarsson
Midfielder	Iceland	0.0	0.0	Theódór	Elmar Bjarnason
Midfielder	Iceland	0.0	0.0	Emil	Hallfredsson
Midfielder	Iceland	0.0	0.0	Arnór	Ingvi Traustason
Forward	Iceland	0.0	0.0	Kolbeinn	Sigthórsson
Forward	Iceland	0.0	0.0	Alfred	Finnbogason
Forward	Iceland	0.0	0.0	Jón	Dadi Bödvarsson
Forward	Iceland	0.0	0.0	Eidur	Gudjohnsen
Midfielder	Ireland	2.0	0.0	Aiden	McGeady
Defender	Ireland	0.0	0.0	Ciaran	Clark
Defender	Ireland	0.0	0.0	Cyrus	Christie
Goalkeeper	Ireland	2.0	0.0	Darren	Randolph
Forward	Ireland	0.0	0.0	Daryl	Murphy
Midfielder	Ireland	0.0	0.0	David	Meyler
Midfielder	Ireland	1.0	0.0	Glenn	Whelan
Midfielder	Ireland	2.0	0.0	James	McCarthy
Midfielder	Ireland	0.0	0.0	James	McClean
Midfielder	Ireland	1.0	0.0	Jeff	Hendrick
Defender	Ireland	0.0	0.0	John	O'Shea
Forward	Ireland	0.0	0.0	Jon	Walters
Defender	Ireland	0.0	0.0	Richard	Keogh
Defender	Ireland	6.0	0.0	Robbie	Brady
Forward	Ireland	1.0	0.0	Robbie	Keane
Defender	Ireland	2.0	0.0	Seamus	Coleman
Forward	Ireland	3.0	0.0	Shane	Long
Goalkeeper	Ireland	2.0	0.0	Shay	Given
Midfielder	Ireland	0.0	0.0	Stephen	Quinn
Defender	Ireland	10.0	0.0	Stephen	Ward
Midfielder	Ireland	0.0	0.0	Wes	Hoolahan
Goalkeeper	Ireland	0.0	0.0	Keiren	Westwood
Defender	Ireland	1.0	0.0	Shane	Duffy
Goalkeeper	Italy	1.0	0.0	Gianluigi	Buffon
Goalkeeper	Italy	0.0	0.0	Salvatore	Sirigu
Goalkeeper	Italy	0.0	0.0	Federico	Marchetti
Defender	Italy	0.0	0.0	Matteo	Darmian
Defender	Italy	0.0	0.0	Mattia	De Sciglio
Defender	Italy	0.0	0.0	Angelo	Ogbonna
Defender	Italy	0.0	0.0	Andrea	Barzagli
Defender	Italy	0.0	0.0	Giorgio	Chiellini
Defender	Italy	0.0	0.0	Leonardo	Bonucci
Midfielder	Italy	0.0	0.0	Thiago	Motta
Midfielder	Italy	0.0	0.0	Marco	Parolo
Midfielder	Italy	0.0	0.0	Daniele	De Rossi
Midfielder	Italy	0.0	0.0	Stefano	Sturaro
Midfielder	Italy	0.0	0.0	Emanuele	Giaccherini
Midfielder	Italy	0.0	0.0	Federico	Bernardeschi
Forward	Italy	0.0	0.0	Antonio	Candreva
Midfielder	Italy	0.0	0.0	Alessandro	Florenzi
Forward	Italy	0.0	0.0	Stephan	El Shaarawy
Forward	Italy	0.0	0.0	Lorenzo	Insigne
Forward	Italy	0.0	0.0	Ciro	Immobile
Forward	Italy	0.0	0.0	Simone	Zaza
Forward	Italy	0.0	0.0	?	Éder
Forward	Italy	0.0	0.0	Graziano	Pellè
Goalkeeper	Northern	0.0	0.0	Michael	McGovern
Goalkeeper	Northern	0.0	0.0	Roy	Carroll
Goalkeeper	Northern	0.0	0.0	Alan	Mannus
Defender	Northern	2.0	0.0	Gareth	McAuley
Defender	Northern	2.0	0.0	Jonny	Evans
Defender	Northern	0.0	0.0	Craig	Cathcart
Defender	Northern	0.0	0.0	Conor	McLaughlin
Defender	Northern	0.0	0.0	Luke	McCullough
Defender	Northern	0.0	0.0	Shane	Ferguson
Defender	Northern	0.0	0.0	Lee	Hodson
Midfielder	Northern	0.0	0.0	Oliver	Norwood
Defender	Northern	0.0	0.0	Aaron	Hughes
Midfielder	Northern	0.0	0.0	Steven	Davis
Defender	Northern	0.0	0.0	Chris	Baird
Midfielder	Northern	0.0	0.0	Stuart	Dallas
Midfielder	Northern	0.0	0.0	Paddy	McNair
Midfielder	Northern	0.0	0.0	Niall	McGinn
Midfielder	Northern	2.0	0.0	Corry	Evans
Forward	Northern	0.0	0.0	Kyle	Lafferty
Forward	Northern	10.0	0.0	Jamie	Ward
Forward	Northern	0.0	0.0	Conor	Washington
Forward	Northern	0.0	0.0	Josh	Magennis
Forward	Northern	2.0	0.0	Will	Grigg
Goalkeeper	Poland	0.0	0.0	Lukasz	Fabianski
Goalkeeper	Poland	0.0	0.0	Wojciech	Szczesny
Goalkeeper	Poland	0.0	0.0	Artur	Boruc
Defender	Poland	0.0	0.0	Thiago	Cionek
Defender	Poland	0.0	0.0	Lukasz	Piszczek
Defender	Poland	0.0	0.0	Kamil	Glik
Defender	Poland	0.0	0.0	Michal	Pazdan
Defender	Poland	0.0	0.0	Bartosz	Salamon
Defender	Poland	0.0	0.0	Jakub	Wawrzyniak
Defender	Poland	0.0	0.0	Artur	Jedrzejczyk
Midfielder	Poland	0.0	0.0	Krzysztof	Maczynski
Midfielder	Poland	0.0	0.0	Piotr	Zielinski
Midfielder	Poland	0.0	0.0	Grzegorz	Krychowiak
Midfielder	Poland	0.0	0.0	Jakub	Blaszczykowski
Midfielder	Poland	0.0	0.0	Bartosz	Kapustka
Midfielder	Poland	0.0	0.0	Karol	Linetty
Midfielder	Poland	0.0	0.0	Tomasz	Jodlowiec
Midfielder	Poland	0.0	0.0	Filip	Starzynski
Midfielder	Poland	0.0	0.0	Slawomir	Peszko
Forward	Poland	0.0	0.0	Arkadiusz	Milik
Forward	Poland	1.0	0.0	Robert	Lewandowski
Forward	Poland	0.0	0.0	Kamil	Grosicki
Forward	Poland	0.0	0.0	Mariusz	Stepinski
Goalkeeper	Portugal	0.0	0.0	Rui	Patricio
Goalkeeper	Portugal	0.0	0.0	Anthony	Lopes
Goalkeeper	Portugal	0.0	0.0	?	Eduardo
Defender	Portugal	0.0	0.0	Cédric	Soares
Defender	Portugal	0.0	0.0	José	Fonte
Defender	Portugal	0.0	0.0	?	Eliseu
Defender	Portugal	0.0	0.0	Raphaël	Guerreiro
Defender	Portugal	0.0	0.0	Bruno	Alves
Defender	Portugal	0.0	0.0	Ricardo	Carvalho
Defender	Portugal	3.0	0.0	?	Pepe
Midfielder	Portugal	3.0	0.0	Adrien	Silva
Midfielder	Portugal	0.0	0.0	William	Carvalho
Defender	Portugal	0.0	0.0	?	Vieirinha
Midfielder	Portugal	0.0	0.0	Danilo	Pereira
Midfielder	Portugal	3.0	0.0	Renato	Sanches
Midfielder	Portugal	3.0	0.0	Rafa	Silva
Midfielder	Portugal	0.0	0.0	João	Moutinho
Midfielder	Portugal	0.0	0.0	João	Mário
Midfielder	Portugal	0.0	0.0	André	Gomes
Forward	Portugal	0.0	0.0	?	Nani
Forward	Portugal	1.0	0.0	Ricardo	Quaresma
Forward	Portugal	4.0	0.0	Cristiano	Ronaldo
Forward	Portugal	0.0	0.0	?	Éder
Goalkeeper	Romania	0.0	0.0	Ciprian	Tătărușanu
Goalkeeper	Romania	0.0	0.0	Costel	Pantilimon
Goalkeeper	Romania	0.0	0.0	Silviu	Lung
Defender	Romania	0.0	0.0	Cristian	Săpunaru
Defender	Romania	0.0	0.0	Alexandru	Mățel
Defender	Romania	0.0	0.0	Vlad	Chiricheș
Defender	Romania	0.0	0.0	Dragoș	Grigore
Defender	Romania	0.0	0.0	Valerică	Găman
Defender	Romania	0.0	0.0	Cosmin	Moți
Defender	Romania	0.0	0.0	Steliano	Filip
Midfielder	Romania	0.0	0.0	Mihai	Pintilii
Midfielder	Romania	0.0	0.0	Ovidiu	Hoban
Midfielder	Romania	0.0	0.0	Adrian	Popa
Midfielder	Romania	0.0	0.0	Gabriel	Torje
Midfielder	Romania	0.0	0.0	Lucian	Sânmărtean
Midfielder	Romania	0.0	0.0	Nicolae	Stanciu
Forward	Romania	0.0	0.0	Claudiu	Keșeru
Forward	Romania	0.0	0.0	Florin	Andone
Forward	Romania	0.0	0.0	Bogdan	Stancu
Forward	Romania	0.0	0.0	Denis	Alibec
